期号,日期,百位,十位,个位,销售额
25270,2025-09-27,6,7,1,43204714
25271,2025-09-28,9,5,7,39274900
25272,2025-09-29,0,2,4,22898410
25273,2025-09-30,7,5,7,25576176
25274,2025-10-01,8,3,9,32760172
25275,2025-10-02,9,7,2,29689340
25276,2025-10-03,6,6,5,41697183
25277,2025-10-04,2,9,3,28955382
25278,2025-10-05,1,7,2,21629369
25279,2025-10-06,3,2,9,43030025
25280,2025-10-07,1,6,7,30377733
25281,2025-10-08,3,3,8,13157427
25282,2025-10-09,0,5,4,33960808
25283,2025-10-10,2,2,8,12145470
25284,2025-10-11,1,5,6,17648349
25285,2025-10-12,9,3,1,47713936
25286,2025-10-13,3,7,4,32838771
25287,2025-10-14,5,0,8,27951032
25288,2025-10-15,2,8,9,16988852
25289,2025-10-16,0,7,7,17444442
25290,2025-10-17,1,9,9,16836248
25291,2025-10-18,8,0,8,17074018
25292,2025-10-19,2,1,3,34269144
25293,2025-10-20,2,4,7,43950147
25294,2025-10-21,7,1,2,34409970
25295,2025-10-22,5,2,1,23548630
25296,2025-10-23,7,6,0,26462882
25297,2025-10-24,7,5,4,43891501
25298,2025-10-25,2,1,4,34993780
25299,2025-10-26,6,5,3,20174456
25300,2025-10-27,8,6,3,19260642
25301,2025-10-28,6,6,6,40786396
25302,2025-10-29,8,5,0,39700953
25303,2025-10-30,2,0,8,14669514
25304,2025-10-31,1,5,5,36954333
25305,2025-11-01,2,6,0,36391652
25306,2025-11-02,0,2,9,13879551
25307,2025-11-03,8,4,6,36977952
25308,2025-11-04,8,4,5,33096009
25309,2025-11-05,0,4,8,19855729
25310,2025-11-06,6,7,3,46535762
25311,2025-11-07,9,9,7,33169376
25312,2025-11-08,6,3,4,15655997
25313,2025-11-09,0,8,5,36172023
25314,2025-11-10,2,8,8,29054076
25315,2025-11-11,3,1,8,47029721
25316,2025-11-12,4,8,5,20739253
25317,2025-11-13,0,0,8,49762243
25318,2025-11-14,4,3,4,38369995
25319,2025-11-15,8,1,0,35030188
25320,2025-11-16,4,8,5,18308951
25321,2025-11-17,0,1,7,29995831
25322,2025-11-18,9,0,7,32748582
25323,2025-11-19,3,9,9,45788395
25324,2025-11-20,9,3,5,30079080
25325,2025-11-21,4,9,2,35344717
25326,2025-11-22,8,3,1,32001437
25327,2025-11-23,8,9,3,34244253
25328,2025-11-24,7,1,2,38567715
25329,2025-11-25,6,1,1,14173746
25330,2025-11-26,6,2,7,24413937
25331,2025-11-27,7,1,5,45316415
25332,2025-11-28,6,9,8,44825809
25333,2025-11-29,6,4,9,43475733
25334,2025-11-30,6,7,7,37979185
25335,2025-12-01,2,2,8,18531145
25336,2025-12-02,7,7,2,44439294
25337,2025-12-03,8,1,3,40563549
25338,2025-12-04,7,0,2,47515646
25339,2025-12-05,5,1,9,37422014
25340,2025-12-06,1,1,5,48370483
25341,2025-12-07,4,0,8,20288091
25342,2025-12-08,1,5,4,35129569
25343,2025-12-09,4,4,7,11877557
25344,2025-12-10,2,2,9,38303631
25345,2025-12-11,0,4,4,24467426
25346,2025-12-12,2,7,0,18209286
25347,2025-12-13,8,5,1,12998590
25348,2025-12-14,6,7,9,30783741
25349,2025-12-15,9,7,5,35320552
25350,2025-12-16,7,9,2,19296073
25351,2025-12-17,8,7,7,40136895
25352,2025-12-18,2,5,1,37489691
25353,2025-12-19,6,3,6,32749762
25354,2025-12-20,8,0,7,28614327
25355,2025-12-21,1,2,0,48385920
25356,2025-12-22,4,8,1,47537532
25357,2025-12-23,1,3,9,46361886
25358,2025-12-24,9,0,9,45014304
25359,2025-12-25,3,7,8,11252524
25360,2025-12-26,1,8,2,11273295
25361,2025-12-27,4,3,3,48893126
25362,2025-12-28,7,1,8,31503771
25363,2025-12-29,6,9,0,42982197
25364,2025-12-30,0,5,6,22113687
25365,2025-12-31,6,0,8,31299174
